id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03108000590,108/12/24,新竹縣新豐鄉公所,108年春安工作會報活動,108/01/11,公職人員之關係人,"50,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣新豐鄉公所推行社運工作補助款補助要點,田鼎睿,新竹縣新豐鄉民代表會,新豐鄉鄉民代表會主席,新竹縣新豐鄉義警民防協會,10600377,田鼎睿,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109000830,109/02/06,新竹縣新豐鄉公所,山崎民防分隊金門參訪,108/04/22,公職人員之關係人,"70,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣新豐鄉公所推行社運工作補助款補助要點,田鼎睿,新竹縣新豐鄉民代表會,新豐鄉鄉民代表會主席,,,,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109000850,109/02/06,新竹縣新豐鄉公所,山崎民防分隊治安座談會,108/04/10,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣新豐鄉公所推行社運工作補助款補助要點,田鼎睿,新竹縣新豐鄉民代表會,新豐鄉鄉民代表會主席,新竹縣新豐鄉義警民防協會,10600377,田鼎睿,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109000880,109/02/07,新竹縣新豐鄉公所,緊急CPR宣導及高雄衛武營都會公園自然生態教育,108/08/01,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新豐鄉推行社運工作補助款補助要點,鍾秀菊,新竹縣新豐鄉民代表會,代表,新豐鄉幸福養生推廣協會,37986629,邱榮鎮,"關係人屬：非法人團體，係由 ： 公職人員之配偶或共同生活之家屬；邱榮鎮 擔任 相類似職務：理事長"
AA03109000890,109/02/07,新竹縣新豐鄉公所,會員大會暨CPR宣導,108/05/27,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新豐鄉推行社運工作補助款補助要點,鍾秀菊,新竹縣新豐鄉民代表會,代表,新竹縣新豐鄉幸福養生推廣協會,37986629,邱榮鎮,"關係人屬：非法人團體，係由 ： 公職人員本人"
AA03109000910,109/02/07,新竹縣新豐鄉公所,愛心義剪活動,108/09/10,公職人員之關係人,"15,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新豐鄉推行社運工作補助款補助要點,田鼎睿,新竹縣新豐鄉民代表會,代表會主席,新竹縣九奕愛心關懷協會,72899910,田鼎睿,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109000930,109/02/07,新竹縣新豐鄉公所,參訪活動,108/03/08,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新豐鄉推行社運工作補助款補助要點,許錦煙,新竹縣新豐鄉民代表會,代表,新竹縣新豐鄉長春福德宮發展協會,34846999,許錦煙,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109000940,109/02/07,新竹縣新豐鄉公所,參訪竹南聖家啟智中心,108/09/10,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新豐鄉推行社運工作補助款補助要點,田鼎睿,新竹縣新豐鄉公所,代表會主席,新竹縣九奕愛心關懷協會,72899910,田鼎睿,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任：負責人"
AA03109000950,109/02/07,新竹縣新豐鄉公所,後湖義警分隊109年春安工作活動,109/01/02,公職人員之關係人,"30,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣新豐鄉公所推行社運工作補助款補助要點,田鼎睿,新竹縣新豐鄉民代表會,新豐鄉鄉民代表會主席,新竹縣新豐鄉義警民防協會,10600377,田鼎睿,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109000960,109/02/07,新竹縣新豐鄉公所,新豐民防分隊109年春安工作活動,109/01/09,公職人員之關係人,"38,900",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,新竹縣新豐鄉公所推行社運工作補助款補助要點,田鼎睿,新竹縣新豐鄉民代表會,新豐鄉鄉民代表會主席,新竹縣新豐鄉義警民防協會,10600377,田鼎睿,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任 相類似職務：理事長"
