id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03109002590,109/04/06,雲林縣麥寮鄉公所,王船文化館設備增設,109/04/06,公職人員之關係人,"94,800",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,許高源,雲林縣麥寮鄉公所,代表,中興社區發展協會,45742598,許長源,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事"
AA03109002611,109/04/06,雲林縣麥寮鄉公所,食在幸福社區共餐,109/04/06,公職人員之關係人,"51,600",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,許高源,雲林縣麥寮鄉公所,代表,中興社區發展協會,45742598,許長源,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事"
AA03109002640,109/04/06,雲林縣麥寮鄉公所,活動中心採光罩邊緣補強及廚房排水工程,109/04/06,公職人員之關係人,"93,975",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,林森敏,雲林縣麥寮鄉公所,代表,後安社區發展協會,45597172,許新發,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事"
AA03109002650,109/04/06,雲林縣麥寮鄉公所,社區營造三期及村落文化發展計畫,109/04/06,公職人員之關係人,"95,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,林森敏,雲林縣麥寮鄉公所,代表,後安社區發展協會,45597172,林新發,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事"
AA03109004221,109/06/23,雲林縣麥寮鄉公所,中興社區赦公媽廟周邊環境綠美化,109/06/15,公職人員本人,"98,350",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,許高源,雲林縣麥寮鄉民代表會,代表,,,,
AA03109008711,109/12/11,雲林縣麥寮鄉公所,食在幸福社區共餐,109/10/30,公職人員本人,"841,600",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,林森敏,雲林縣麥寮鄉公所,代表,,,,
AA03109008720,109/12/11,雲林縣麥寮鄉公所,食在幸福社區共餐,109/10/30,公職人員本人,"717,600",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,林森敏,雲林縣麥寮鄉公所,代表,,,,
AA03110008042,110/12/29,雲林縣麥寮鄉公所,食在幸福社區共餐110年1-4月,110/08/10,公職人員之關係人,"485,600",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,林森敏,雲林縣麥寮鄉民代表會,代表,後安社區發展協會,45597172,林新發,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事"
AA03110008051,110/12/29,雲林縣麥寮鄉公所,食在幸福社區共餐110年5月份,110/08/12,公職人員之關係人,"121,400",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,林森敏,雲林縣麥寮鄉民代表會,代表,後安社區發展協會,45597172,林新發,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事"
AA03110008061,110/12/29,雲林縣麥寮鄉公所,食在幸福社區共餐110年6-9月份,110/08/12,公職人員之關係人,"314,800",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,林森敏,雲林縣麥寮鄉民代表會,代表,後安社區發展協會,45597172,林新發,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事"
AA03110008071,110/12/29,雲林縣麥寮鄉公所,食在幸福社區共餐110年10-12月份,110/12/10,公職人員之關係人,"355,200",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,林森敏,雲林縣麥寮鄉民代表會,代表,後安社區發展協會,45597172,鍾宛伶,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事"
AA03111002380,111/03/14,雲林縣麥寮鄉公所,111年1至12月食在幸福社區共餐補助,111/03/11,公職人員之關係人,"1,324,800",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,公職人員利益衝突迴避法,林森敏,雲林縣麥寮鄉民代表會,副主席,後安社區發展協會,45597172,鍾宛伶,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任 相類似職務：理事"
