id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03109002014,109/03/09,南投縣政府,109年運動i臺灣計畫-專案四運動城市推展專案-基層運動風氣推展(鄉鎮市區體育會),109/03/06,公職人員之關係人,"320,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,南投縣各級人民團體申請補助處理要點第3點,蔡宗智,南投縣議會,議員,南投市體育會,10931290,蒲志銘,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：監察人"
AA03109003061,109/04/21,南投縣政府,長照計畫-居家服務業務,108/01/08,公職人員之關係人,"1,301,736",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,衛福部108年1月8日衛部顧字第1071962752號函,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：非法人團體，係由 ： 公職人員本人"
AA03109003280,109/05/11,南投縣政府,109年度特約長期照顧服務-居家服務,109/03/06,公職人員之關係人,"248,138",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03109003290,109/05/11,南投縣政府,109年度特約長期照顧服務-居家服務,109/03/20,公職人員之關係人,"269,582",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03109003302,109/05/11,南投縣政府,109年度特約長期照顧服務-居家服務,109/04/21,公職人員之關係人,"247,081",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03109003411,109/05/19,南投縣政府,109年度特約長期照顧服務-居家服務,109/05/15,公職人員之關係人,"317,258",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03109003550,109/05/26,南投縣政府,109年活動活動健康走健行活動,109/01/20,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,南投縣各級人民團體申請補助處理要點第3點,蔡宗智,南投縣議會,議員,南投縣銀髮樂園關懷協會,82657503,蔡宗智,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109004870,109/07/22,南投縣政府,109年度特約長期照顧服務-居家服務,109/07/17,公職人員之關係人,"375,163",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03109005122,109/07/31,南投縣政府,長照計畫-居家服務業務,109/07/23,公職人員之關係人,"39,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,衛生福利部108年12月20日衛部顧字第1081963352號函,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03109006141,109/09/11,南投縣政府,南投縣體育會排舞委員會第八屆主委盃排舞觀摩賽,109/09/08,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,南投縣各級人民團體申請補助處理要點第3點,洪明科,南投縣議會,議員,南投縣體育會排舞委員會,39755743,洪明科,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任：負責人"
AA03109006760,109/10/13,南投縣政府,109年度特約長期照顧服務-居家服務,109/06/15,公職人員之關係人,"310,910",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03109006770,109/10/13,南投縣政府,109年度特約長期照顧服務-居家服務,109/09/15,公職人員之關係人,"364,939",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03109006780,109/10/13,南投縣政府,109年度特約長期照顧服務-居家服務,109/08/14,公職人員之關係人,"372,826",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03109006830,109/10/14,南投縣政府,109年排舞觀摩研習活動計畫,109/09/04,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,南投縣各級人民團體申請補助處理要點第3點,蔡宗智,南投縣議會,議員,南投縣南投市體育會,10931290,蒲志銘,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任 相類似職務：常務監事"
AA03109008251,109/11/24,南投縣政府,109年度特約長期照顧服務-居家服務,109/11/18,公職人員之關係人,"472,544",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長照服務提供者特約簽定及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03109008511,109/12/03,南投縣政府,109年度特約長期照顧服務-居家服務,109/09/15,公職人員之關係人,"402,209",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽定及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03109009051,109/12/24,南投縣政府,109年特約長期照顧服務-居家服務,109/12/17,公職人員之關係人,"426,188",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03109009141,109/12/28,南投縣政府,南投縣109年勞工運動大會,109/11/14,公職人員之關係人,"980,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,南投縣政府對民間團體及個人補(捐)助預算執行應行注意事項第3點,曾振炎,南投縣議會,議員,南投縣總工會,61610004,曾振炎,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03109009151,109/12/28,南投縣政府,109年南投縣企業、職業工會理事長暨會務人員勞工政策研習會,109/11/10,公職人員之關係人,"398,832",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,南投縣政府對民間團體及個人補(捐)助預算執行應行注意事項第3點,曾振炎,南投縣議會,議員,南投縣總工會,61610004,曾振炎,"關係人屬：非營利法人，係由 ： 公職人員本人 擔任 相類似職務：理事長"
AA03110001480,110/02/25,南投縣政府,109年度特約長期照顧服務-居家服務,110/02/23,公職人員之關係人,"466,633",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03110001531,110/02/25,南投縣政府,「春牛吉祥慶元宵」猜燈謎晚會及節能減碳宣導活動,110/01/26,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,南投縣各級人民團體申請補助處理要點第3點,曾振炎,南投縣議會,議員,南投縣藝文發展協會,88406547,曾振炎,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任：負責人"
AA03110001801,110/03/12,南投縣政府,長照服務發展基金109年度一般性獎助經費,110/03/02,公職人員之關係人,"76,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧特約及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03110001820,110/03/12,南投縣政府,110年度特約長期照顧服務-居家服務,110/03/05,公職人員之關係人,"456,971",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03110001930,110/03/18,南投縣政府,110年度特約長期照顧服務-居家服務,110/03/17,公職人員之關係人,"339,949",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03110003091,110/04/20,南投縣政府,2021年第13屆全國心智障礙者親子運動大會選手培訓計畫,110/03/24,公職人員之關係人,"97,955",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,南投縣各級人民團體申請補助要點第3點,曾振炎,南投縣議會,縣議員,南投縣智障者家長協會,77394988,侯月嫦,"關係人屬：非營利法人，係由 ： 公職人員之配偶或共同生活之家屬；侯月嫦 擔任：負責人"
AA03110003521,110/05/03,南投縣政府,110年度特約長期照顧服務-居家服務,110/04/26,公職人員之關係人,"492,320",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03110004390,110/05/21,南投縣政府,長照發展基金110年度一般性獎助計畫,110/05/14,公職人員之關係人,"30,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧特約及費用支付作業要點,蔡宗智,南投縣議會,議員,,,,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03110004501,110/05/24,南投縣政府,110年度特約長期照顧服務-居家服務,110/05/24,公職人員之關係人,"551,288",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03110004660,110/06/04,南投縣政府,慶端午-關懷弱勢包肉粽活動,110/06/26,公職人員之關係人,"20,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,南投縣各級人民團體申請補助處理要點第3點,蔡宗智,南投縣議會,議員,南投縣貓羅溪歌唱運動協會,87186088,施子涵,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；母；陳玉麗 擔任 相類似職務：監事"
AA03110004760,110/06/23,南投縣政府,110年度特約長期照顧服務-居家服務,110/06/17,公職人員之關係人,"552,803",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
AA03110004950,110/07/29,南投縣政府,110年度特約長期照顧服務,110/07/19,公職人員之關係人,"546,159",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,直轄市、縣(市)政府辦理長期照顧服務提供者特約簽訂及費用支付作業要點,蔡宗智,南投縣議會,議員,南投縣私立慈愛居家長照機構,82570979,蔡宗智,"關係人屬：營利事業，係由 ： 公職人員本人 擔任：負責人"
