id,公告日期,交易案件機關,交易案件名稱,交易日期,交易對象,交易金額,交易屬第14條第1項但書,法令依據,公職人員姓名,服務機關團體,職稱,關係人名稱,統一編號,代表人或管理人,關係人與公職人員之關係
AA03109001880,109/03/03,嘉義市政府,108年度全國社區聯繫會報活動案,108/07/22,公職人員之關係人,"739,610",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,嘉義市政府推展社區發展業務補助作業要點三(二),傅大偉,嘉義市議會,議員,嘉義市東區東川社區發展協會,29398752,傅大偉,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任：負責人"
AA03109001890,109/03/03,嘉義市政府,108年街坊出招7,108/07/26,公職人員之關係人,"75,200",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,嘉義市政府堆展社區發展業務補助作業要點三(一)1,傅大偉,嘉義市議會,議員,嘉義市東區東川社區發展協會,29398752,傅大偉,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任：負責人"
AA03109001900,109/03/03,嘉義市政府,拒絕菸毒迎向陽光嘉義高中職8校聯合舞展暨系列活動,108/07/08,公職人員之關係人,"50,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,嘉義市政府對民間團體補(捐)助經費作業要點三(四),黃露慧,嘉義市議會,議員,嘉義市愛在嘉義婦幼關懷協會,37618744,黃露慧,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任：負責人"
AA03109001910,109/03/03,嘉義市政府,性別意識培力講座-從生活中的議題談性別,108/10/09,公職人員之關係人,"57,400",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,嘉義市政府對民間團體補(捐)助經費作業要點三(四),李奕德,嘉義市議會,議員,社團法人嘉義市父母成長協會,87674565,李奕德,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任：負責人"
AA03110000880,110/01/28,嘉義市政府,繪本動起來-親子藝起玩,109/02/05,公職人員之關係人,"36,380",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,嘉義市政府對民間團體補(捐)助經費作業要點三(四),李奕德,嘉義市議會,市議員,社團法人嘉義市父母成長協會,87674565,李奕德,"關係人屬：非法人團體，係由 ： 公職人員本人 擔任：負責人"
AA03110000910,110/01/28,嘉義市政府,嘉義市社區照顧關懷據點爺爺奶奶市政建設體驗計畫,109/10/19,公職人員之關係人,"10,200",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,嘉義市政府補助人民團體經費作業要點第四點第三款,傅大偉,嘉義市議會,市議員,嘉義市東川社區發展協會,29398752,傅曾小榮,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；母；傅曾小榮 擔任：負責人"
AA03110000920,110/01/28,嘉義市政府,嘉義市109年度建立社區照顧關懷據點並設置C級巷弄長照補助計畫,109/05/16,公職人員之關係人,"180,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,嘉義市政府補助人民團體經費作業要點第四點第三款,傅大偉,嘉義市議會,市議員,嘉義市東川設協會,29398752,傅曾小榮,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；母；傅曾小榮"
AA03110000930,110/01/28,嘉義市政府,109年度花甲食堂作伙甲百二,109/03/13,公職人員之關係人,"200,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,嘉義市政府補助人民團體經費作業要點第四點第三款,傅大偉,嘉義市議會,市議員,嘉義市東川社區發展協會,29398752,傅曾小榮,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；母；傅曾小榮 擔任：負責人"
AA03110006470,110/10/29,嘉義市政府,110年度花甲食堂--作伙呷百二,110/01/01,公職人員之關係人,"200,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,嘉義市政府補助人民團體經費作業要點第四點第(三)款,傅大偉,嘉義市議會,議員,嘉義市東區東川社區發展協會,,傅曾小榮,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；母；傅曾小榮 擔任 相類似職務：理事長"
AA03110006480,110/10/29,嘉義市政府,嘉義市110年社區照顧關懷據點,110/01/01,公職人員之關係人,"180,000",第3款：對公職人員之關係人依法令規定以公開公平方式辦理之補助。,嘉義市政府補助人民團體經費作業要點第四點第(三)款,傅大偉,嘉義市議會,議員,嘉義市東區東川社區發展協會,,傅曾小榮,"關係人屬：非法人團體，係由 ： 公職人員二親等以內親屬；母；傅曾小榮 擔任 相類似職務：理事長"
